"","STATE","Date","Stay.at.home.order","Days.to.Issue.Stay.at.home.from.National.Announcment","Date.of.first.case","raw","intercept"
"1","AK","13-Mar","28-Mar",15,NA,-1.93942413338605,0.125711135133408
"2","AL","13-Mar","04-Apr",22,NA,-2.04631887278026,0.114424867480923
"3","AR","13-Mar","",NA,NA,-2.57016459763896,0.0710834348393689
"4","AZ","13-Mar","31-Mar",18,NA,-2.02896569624671,0.116195096490065
"5","CA","13-Mar","19-Mar",6,NA,-1.61048382647903,0.16652145146787
"6","CO","13-Mar","26-Mar",13,NA,-1.82639047881526,0.138668831597275
"7","CT","13-Mar","23-Mar",10,NA,-1.39806456739069,0.198123414999209
"8","DE","13-Mar","24-Mar",11,NA,-1.46953844781916,0.187012777762374
"9","FL","13-Mar","03-Apr",21,NA,-2.00412755691438,0.118770235716741
"10","GA","13-Mar","03-Apr",21,NA,-2.15435065956743,0.103925369716661
"11","HI","13-Mar","25-Mar",12,NA,-1.3270731264832,0.209643916541016
"12","IA","13-Mar","",NA,NA,-2.20094656201912,0.0996655197368401
"13","ID","13-Mar","25-Mar",12,NA,-2.15585997402723,0.103784898978011
"14","IL","13-Mar","21-Mar",8,NA,-1.91649947074777,0.128252429560375
"15","IN","13-Mar","24-Mar",11,NA,-1.86039606720368,0.134656893774419
"16","KS","13-Mar","30-Mar",17,NA,-2.3626224989706,0.0860676845707724
"17","KY","13-Mar","26-Mar",13,NA,-1.68507583576609,0.156424513823354
"18","LA","13-Mar","23-Mar",10,NA,-1.88134638970551,0.132234300976033
"19","MA","13-Mar","24-Mar",11,NA,-1.32438187766269,0.210090187015298
"20","MD","13-Mar","30-Mar",17,NA,-1.72238662648545,0.151564006446269
"21","ME","13-Mar","02-Apr",20,NA,-1.72084456171949,0.1517624107568
"22","MI","13-Mar","24-Mar",11,NA,-1.08775394621012,0.252041460873267
"23","MN","13-Mar","27-Mar",14,NA,-1.86510912808683,0.134108652136915
"24","MO","13-Mar","06-Apr",24,NA,-2.19412569814752,0.100279245042176
"25","MS","13-Mar","03-Apr",21,NA,-2.28944022432069,0.0920013012678856
"26","MT","13-Mar","28-Mar",15,NA,-1.90817632223901,0.129185871508084
"27","NC","13-Mar","30-Mar",17,NA,-1.84440505123426,0.136531147390665
"28","ND","13-Mar","",NA,NA,-2.20052810529583,0.0997030751135361
"29","NE","13-Mar","",NA,NA,-2.58604977305799,0.0700416475269988
"30","NH","13-Mar","27-Mar",14,NA,-1.52925791767,0.178102287232741
"31","NJ","13-Mar","21-Mar",8,NA,-1.23891960513131,0.224624100082221
"32","NM","13-Mar","24-Mar",11,NA,-2.01185593429894,0.11796373405536
"33","NV","13-Mar","01-Apr",19,NA,-1.67777034553185,0.157390937668205
"34","NY","13-Mar","22-Mar",9,NA,-1.29033009835272,0.215796943492254
"35","OH","13-Mar","23-Mar",10,NA,-1.66843646054745,0.15863275058982
"36","OK","13-Mar","06-Apr",24,NA,-2.69599678406778,0.0632099903502572
"37","OR","13-Mar","23-Mar",10,NA,-1.72461230186196,0.151278023499957
"38","PA","13-Mar","01-Apr",19,NA,-1.49552548542102,0.183093830323483
"39","RI","13-Mar","28-Mar",15,NA,-1.23891313654043,0.2246252267065
"40","SC","13-Mar","07-Apr",25,NA,-1.94994938038404,0.124558877846086
"41","SD","13-Mar","",NA,NA,-2.54192413607733,0.0729709060235034
"42","TN","13-Mar","31-Mar",18,NA,-2.00666824755239,0.118504574668877
"43","TX","13-Mar","02-Apr",20,NA,-2.17405489540461,0.102104683154909
"44","UT","13-Mar","01-Apr",19,NA,-2.17466516179511,0.102048747933188
"45","VA","13-Mar","30-Mar",17,NA,-2.10946537963174,0.108180234673013
"46","VT","13-Mar","25-Mar",12,NA,-1.28733914975083,0.216303527842291
"47","WA","13-Mar","23-Mar",10,NA,-1.60140548495779,0.167785270614617
"48","WI","13-Mar","25-Mar",12,NA,-1.72292801279633,0.151494401435634
"49","WV","13-Mar","24-Mar",11,NA,-2.03683364510151,0.115389543684724
"50","WY","13-Mar","",NA,NA,-2.41611968675317,0.0819517201278868
